time,voltage,excitation,current,preresistor,gain,resistance
0.0,-0.4399779687519185,0.5,2.5e-05,10000,100,175.9911875007674
1.000020000400008e-05,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
2.000040000800016e-05,-0.44062221399508417,0.5,2.5e-05,10000,100,176.24888559803367
3.000060001200024e-05,-0.44030009137350135,0.5,2.5e-05,10000,100,176.12003654940054
4.000080001600032e-05,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
5.0001000020000404e-05,-0.4380452330224216,0.5,2.5e-05,10000,100,175.21809320896864
6.000120002400048e-05,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
7.000140002800056e-05,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
8.000160003200064e-05,-0.44062221399508417,0.5,2.5e-05,10000,100,176.24888559803367
9.000180003600073e-05,-0.43868947826558724,0.5,2.5e-05,10000,100,175.4757913062349
0.00010000200004000081,-0.4393337235087529,0.5,2.5e-05,10000,100,175.73348940350115
0.00011000220004400089,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.00012000240004800096,-0.43868947826558724,0.5,2.5e-05,10000,100,175.4757913062349
0.00013000260005200105,-0.4399779687519185,0.5,2.5e-05,10000,100,175.9911875007674
0.00014000280005600112,-0.43868947826558724,0.5,2.5e-05,10000,100,175.4757913062349
0.00015000300006000122,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.0001600032000640013,-0.43868947826558724,0.5,2.5e-05,10000,100,175.4757913062349
0.00017000340006800136,-0.440944336616667,0.5,2.5e-05,10000,100,176.3777346466668
0.00018000360007200145,-0.4399779687519185,0.5,2.5e-05,10000,100,175.9911875007674
0.00019000380007600152,-0.4393337235087529,0.5,2.5e-05,10000,100,175.73348940350115
0.00020000400008000162,-0.44030009137350135,0.5,2.5e-05,10000,100,176.12003654940054
0.00021000420008400168,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.00022000440008800178,-0.4383673556440044,0.5,2.5e-05,10000,100,175.34694225760177
0.00023000460009200185,-0.4399779687519185,0.5,2.5e-05,10000,100,175.9911875007674
0.00024000480009600192,-0.4399779687519185,0.5,2.5e-05,10000,100,175.9911875007674
0.000250005000100002,-0.4367567425360903,0.5,2.5e-05,10000,100,174.70269701443613
0.0002600052001040021,-0.4399779687519185,0.5,2.5e-05,10000,100,175.9911875007674
0.00027000540010800215,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.00028000560011200225,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.00029000580011600234,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.00030000600012000244,-0.4377231104008388,0.5,2.5e-05,10000,100,175.0892441603355
0.0003100062001240025,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.0003200064001280026,-0.4393337235087529,0.5,2.5e-05,10000,100,175.73348940350115
0.00033000660013200267,-0.43868947826558724,0.5,2.5e-05,10000,100,175.4757913062349
0.0003400068001360027,-0.4377231104008388,0.5,2.5e-05,10000,100,175.0892441603355
0.0003500070001400028,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.0003600072001440029,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.000370007400148003,-0.4393337235087529,0.5,2.5e-05,10000,100,175.73348940350115
0.00038000760015200304,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.00039000780015600314,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.00040000800016000323,-0.44062221399508417,0.5,2.5e-05,10000,100,176.24888559803367
0.0004100082001640033,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.00042000840016800337,-0.43868947826558724,0.5,2.5e-05,10000,100,175.4757913062349
0.00043000860017200347,-0.44030009137350135,0.5,2.5e-05,10000,100,176.12003654940054
0.00044000880017600356,-0.43868947826558724,0.5,2.5e-05,10000,100,175.4757913062349
0.0004500090001800036,-0.4380452330224216,0.5,2.5e-05,10000,100,175.21809320896864
0.0004600092001840037,-0.4399779687519185,0.5,2.5e-05,10000,100,175.9911875007674
0.0004700094001880038,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.00048000960019200384,-0.440944336616667,0.5,2.5e-05,10000,100,176.3777346466668
0.000490009800196004,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.000500010000200004,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.0005100102002040041,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.0005200104002080042,-0.44062221399508417,0.5,2.5e-05,10000,100,176.24888559803367
0.0005300106002120043,-0.4383673556440044,0.5,2.5e-05,10000,100,175.34694225760177
0.0005400108002160043,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.0005500110002200045,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.0005600112002240045,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.0005700114002280045,-0.440944336616667,0.5,2.5e-05,10000,100,176.3777346466668
0.0005800116002320047,-0.43868947826558724,0.5,2.5e-05,10000,100,175.4757913062349
0.0005900118002360047,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
0.0006000120002400049,-0.4393337235087529,0.5,2.5e-05,10000,100,175.73348940350115
0.0006100122002440049,-0.4396558461303357,0.5,2.5e-05,10000,100,175.86233845213428
0.000620012400248005,-0.43901160088717006,0.5,2.5e-05,10000,100,175.60464035486802
