temperature,resistance
1.4,1036.1938199506226
1.54,953.7708636958714
1.6939999999999997,884.2821476987687
1.8634,817.1660997449618
2.0497,761.932906882293
2.25471,700.3366311511433
2.48021,656.747853767454
2.7282,607.9853268371887
3.001,566.8743232409626
3.3010999999999995,522.8622878798888
3.6312100000000003,491.91574992985227
3.9944,461.038721795544
4.3938,431.8941436638489
4.83323,408.1546138565505
5.31652,382.2048695326092
5.8481000000000005,360.94473477457683
6.433,342.6101832082913
7.0768,325.8829057244517
7.78422,308.8348741604184
8.5626,293.66504516034126
9.41876,279.363013177114
10.3604,266.0495342183149
11.3967,254.0136209857827
12.536,242.374059455517
13.7899,232.0409657131335
15.168899999999999,221.7987997341961
16.6858,212.0547397326364
18.3542,202.8741435711952
20.1904,193.9904533528764
22.2086,185.87664707563562
24.429,177.7324628278212
26.8724,170.04910387989472
29.5605,162.2921245507295
32.5138,155.14026716058532
