temperature,heat_capacity
1.7387303967596621,5.995077051841864e-09
1.8319177429993754,6.919944292928924e-09
1.8946056359423302,7.618198581892515e-09
2.0373162728968963,9.42116266554591e-09
2.129239140231407,1.0788857761138386e-08
2.229239140231407,1.244475559306536e-08
2.3292391402314077,1.4413051910762574e-08
2.4292391402314077,1.643146768660838e-08
2.5292391402314074,1.863989566392486e-08
2.633299179070729,2.1389491319932958e-08
2.728020407659115,2.3849345960385975e-08
2.8288832151143417,2.6739385349937503e-08
2.928883215114342,3.0267691348886645e-08
3.0346296588114137,3.3796828751607664e-08
3.128551008524282,3.708738062580174e-08
3.235812620000085,4.147472624113492e-08
3.3358126200000853,4.605417096335358e-08
3.4193354312435695,5.00022199373611e-08
,
,
,
,
,
,
,
,
4.361421727906592,1.0327768325681467e-07
4.44184259464831,1.0805862644946906e-07
4.537477803872081,1.173582616218339e-07
4.6417986883622,1.2450309176942885e-07
4.737052414802252,1.3446665567705927e-07
4.83705241480225,1.4299877590396958e-07
4.937052414802247,1.5275449680761385e-07
5.037052414802245,1.6568977147084723e-07
5.133024965542147,1.70551283228148e-07
5.237198161774305,1.8112445336911158e-07
5.337198161774303,1.9184628613410828e-07
5.437198161774301,2.0359132446666938e-07
5.535724144815986,2.067612921852772e-07
5.635724144815984,2.2299622409311876e-07
5.735724144815981,2.3395207366963053e-07
5.83035724926407,2.4132756365176285e-07
5.929854122349674,2.568667529361642e-07
6.032776110899349,2.6285786254972463e-07
6.132776110899346,2.749306053861676e-07
6.2404645491883475,2.7944343477752054e-07
6.33429146140766,2.992373370210994e-07
6.434291461407657,3.1437208665791476e-07
6.534291461407655,3.2741092729893843e-07
6.634291461407654,3.4124723035004724e-07
6.7342914614076514,3.5897191705924986e-07
6.834291461407649,3.699154098862186e-07
6.934291461407647,3.8475066960931484e-07
7.034291461407645,4.0448552181919764e-07
7.134291461407643,4.1561849378744285e-07
7.23696198038449,4.252126096866537e-07
7.3299787252226,4.410099140426338e-07
7.434722544871281,4.6104438690029293e-07
7.534722544871279,4.908807194758132e-07
7.634722544871278,4.959067537313956e-07
7.734722544871276,5.154928021389507e-07
7.834722544871273,5.391385354348366e-07
7.928318680953465,5.333991480325464e-07
8.033638277826597,5.68432797628632e-07
8.133638277826595,5.947291676778879e-07
8.239925125277127,5.930553503223012e-07
8.335710981208443,6.246380136133962e-07
8.43571098120844,6.391708506870392e-07
8.535710981208437,6.567054110806397e-07
8.635710981208435,6.864442146373343e-07
8.730940588850778,7.111743406050256e-07
8.837783684590283,7.156599614927887e-07
8.937783684590281,7.390641058982383e-07
9.037783684590279,7.724130879669505e-07
9.137783684590277,8.02529933197191e-07
9.242473037014662,7.930500632959372e-07
9.33674762572771,8.28544934262176e-07
9.436747625727708,8.424271410127375e-07
9.536747625727706,8.729213806109153e-07
9.628249301491831,8.782148539557749e-07
9.73571156686514,9.048221007989572e-07
9.835711566865138,9.271014022072069e-07
9.935711566865136,9.484902083965506e-07
10.035711566865134,9.688501626087357e-07
10.135711566865131,9.854500723153117e-07
10.23571156686513,1.0342944548753552e-06
10.345739696675341,1.04242132491471e-06
10.438328567397884,1.0764790820852502e-06
10.538328567397881,1.086955764275077e-06
10.63832856739788,1.1217429563634931e-06
10.738328567397877,1.1524094131987969e-06
10.838328567397877,1.151527754113e-06
10.938328567397875,1.1945819436879786e-06
11.038328567397873,1.246581693272397e-06
11.132219466997961,1.2338938524997123e-06
11.240945567930629,1.2711129361234905e-06
11.34248693874401,1.3006910621486685e-06
11.439577116903145,1.309181233206788e-06
11.53957711690314,1.3456585897901266e-06
11.63957711690314,1.3865472966958098e-06
11.739577116903138,1.4123829247679708e-06
11.839577116903136,1.4214884451736184e-06
11.93687220735717,1.4587153013591784e-06
12.03820866587565,1.4723307344188247e-06
12.138208665875647,1.5270653303681504e-06
12.238208665875645,1.5421240873671492e-06
12.338208665875642,1.5673447882858766e-06
12.43820866587564,1.5947167873210189e-06
12.538782018507886,1.6333893469521665e-06
12.638782018507884,1.6424933578449989e-06
12.738782018507882,1.7045164684545617e-06
12.83878201850788,1.7146807031988086e-06
12.938782018507878,1.7454250170009477e-06
13.038782018507876,1.767074728323485e-06
13.138782018507873,1.8180949757591142e-06
13.23878201850787,1.8840019391664077e-06
13.338782018507867,1.8339299661526605e-06
13.439355371140113,1.9108847586807224e-06
13.539355371140111,1.9162256688650454e-06
13.639355371140109,1.929882040104442e-06
13.739355371140107,1.9851830397233734e-06
13.839355371140105,2.017255008599111e-06
13.939355371140103,2.0679719095755568e-06
14.046266586865007,2.05500754664002e-06
14.133473892218884,2.0770245419045598e-06
14.233473892218882,2.162801028245904e-06
14.333473892218878,2.16322939765379e-06
14.433473892218876,2.219967140242265e-06
14.533473892218874,2.237411440988872e-06
14.62750453138752,2.234833773300841e-06
14.729272835846574,2.3121171774887446e-06
14.829272835846574,2.3269168835732783e-06
14.92927283584657,2.3484809064214578e-06
15.029272835846568,2.380490498926077e-06
15.129272835846564,2.4048652877498165e-06
15.229272835846563,2.439536770134193e-06
15.329272835846561,2.5275847576790276e-06
15.429272835846561,2.5922439249555828e-06
15.529272835846557,2.608011493209975e-06
15.629272835846555,2.589152802359068e-06
15.729272835846555,2.674333642312022e-06
15.82927283584655,2.6528522180001823e-06
15.929272835846547,2.7184655245678972e-06
16.029272835846548,2.78522138338143e-06
16.129272835846546,2.820713157653455e-06
16.22927283584654,2.8407060866533246e-06
16.32927283584654,2.9391124663820564e-06
16.429272835846536,2.8296989131051756e-06
16.540259999397392,2.868921423472351e-06
16.632014238937945,2.873772790735788e-06
16.732014238937946,3.084079980324477e-06
16.83201423893794,3.0549135386235513e-06
16.93201423893794,3.0687404952630672e-06
17.03104436359128,3.0852115778408713e-06
17.13441296664292,3.1257108277578895e-06
17.23441296664292,3.1760392470492032e-06
17.33441296664292,3.1874438297785082e-06
17.434412966642917,3.2699676040403813e-06
17.53441296664291,3.277296123824154e-06
17.634412966642913,3.3202183367197836e-06
17.73441296664291,3.3247501954337857e-06
17.83441296664291,3.39802197329294e-06
17.934412966642903,3.360220441028493e-06
18.034412966642904,3.491974480726356e-06
18.134412966642902,3.4690352439413647e-06
18.2344129666429,3.5102669852739708e-06
18.334412966642894,3.5911200255613418e-06
18.434412966642896,3.6180567844348295e-06
18.534412966642893,3.5781993861703163e-06
18.63441296664289,3.741378616697788e-06
18.734412966642886,3.7146806733086515e-06
18.834412966642883,3.78054968058141e-06
18.934412966642885,3.6406033724140232e-06
19.034412966642883,3.865090545744297e-06
19.134412966642877,3.911917909466387e-06
19.23441296664288,3.879575157496385e-06
19.334412966642876,4.053471810074472e-06
19.434412966642874,4.106596036660199e-06
19.534412966642872,4.109977341163001e-06
19.636914282325797,3.862839489996843e-06
19.735726116618427,4.104794567266987e-06
19.835726116618428,4.2458777500553174e-06
19.935726116618422,4.163497955326516e-06
20.03572611661842,4.238290861074317e-06
20.13572611661842,4.311377542203762e-06
20.235726116618416,4.402874044417318e-06
20.335726116618417,4.361771549422337e-06
20.43572611661841,4.478858012258972e-06
20.53572611661841,4.45192432898449e-06
20.635561900722248,4.349608247649778e-06
20.738067925632542,4.4448554270399586e-06
20.83806792563254,4.527890515368519e-06
20.938067925632538,4.537145654389188e-06
21.03806792563254,4.643379755016889e-06
21.138067925632534,4.6072056950776294e-06
21.238067925632535,4.658097770506628e-06
21.33806792563253,4.730756683780312e-06
21.438067925632527,4.7266188420342304e-06
21.538067925632525,4.739084830357894e-06
21.638067925632523,4.882142380013757e-06
21.738067925632524,4.807829278908467e-06
21.83806792563252,4.9490173152438445e-06
21.93806792563252,4.998807333321736e-06
22.038067925632514,5.038998698517811e-06
22.138067925632512,5.121050474708687e-06
22.23806792563251,5.069998408066251e-06
22.338067925632508,5.091303282797558e-06
22.438067925632506,5.1901350937313645e-06
22.538067925632504,5.193271943957046e-06
22.638067925632505,5.214165466304421e-06
22.7380679256325,5.1829350084185206e-06
22.8380679256325,5.333858749121465e-06
22.938067925632495,5.325204823557347e-06
23.038067925632493,5.341090117311321e-06
23.13806792563249,5.385121079848953e-06
23.23806792563249,5.440801735664768e-06
23.33806792563249,5.5652885379866055e-06
23.438067925632485,5.521866677415255e-06
23.538067925632486,5.752981065996298e-06
23.63806792563248,5.365187680635008e-06
23.738067925632482,5.622922640312753e-06
23.840897458067534,5.639620825777879e-06
23.936782860433485,5.85891447162024e-06
24.03678286043348,5.744661021100318e-06
24.13678286043348,5.9380200697626265e-06
24.236782860433475,6.112118530293844e-06
24.336782860433477,6.106583323362468e-06
24.43678286043347,6.0111029395180366e-06
24.533461089369656,5.874680414058515e-06
24.63640989752427,6.247731652858205e-06
24.736409897524272,6.231887809777901e-06
24.836409897524266,6.127778328786566e-06
24.936409897524264,6.247893240531825e-06
25.036409897524265,6.325153179592897e-06
25.13640989752426,6.1780352729227475e-06
25.236409897524258,6.483349934969333e-06
25.328176884680854,6.223939999361932e-06
25.434579891520894,6.447811310798427e-06
25.53457989152089,6.567863194653132e-06
25.63457989152089,6.548126846677418e-06
25.734579891520887,6.414600465440059e-06
25.834579891520885,6.611307918107617e-06
25.934579891520887,6.58435291824182e-06
26.03457989152088,6.738234906214573e-06
26.13457989152088,6.861751686518894e-06
26.234579891520877,6.894628892693232e-06
26.334579891520875,6.800477475012396e-06
26.434579891520873,6.956130479907538e-06
26.53457989152087,6.787749484432155e-06
26.63457989152087,6.984698180765637e-06
26.739387587268123,6.8432160028485765e-06
26.83498854923653,7.260938997518904e-06
26.93498854923653,7.071916969332869e-06
27.034988549236523,7.136367988019515e-06
27.134988549236525,7.440028391277139e-06
27.234988549236522,7.5740771964575425e-06
27.334988549236517,7.656932749587486e-06
27.434988549236518,7.155968440217616e-06
27.534988549236516,7.6006440213857854e-06
27.630112758570757,7.307861066651446e-06
27.735397206952175,7.647506886268007e-06
27.835397206952177,7.511611997699682e-06
27.93539720695217,7.532125728791039e-06
28.03539720695217,7.696157737568116e-06
28.135397206952167,7.638069373021622e-06
28.235397206952165,7.73260357062881e-06
28.335397206952162,7.87363685148143e-06
28.435397206952164,7.752977301116818e-06
28.535397206952158,7.656759993676863e-06
28.635397206952156,8.023952049313418e-06
28.735397206952154,8.092571307307368e-06
28.835397206952152,8.077316099113546e-06
28.93539720695215,8.085704862001196e-06
29.035397206952148,8.115088806177465e-06
29.135397206952145,8.290611502873564e-06
29.235397206952143,8.244584931096998e-06
29.33539720695214,8.479138803530201e-06
29.43539720695214,8.464161570294428e-06
29.53539720695214,8.298964923095352e-06
29.635397206952135,8.599250211595255e-06
29.735397206952133,9.121719593100164e-06
29.835397206952134,8.653196927288783e-06
29.93539720695213,8.56831549220419e-06
30.035397206952126,9.119592401524245e-06
30.135397206952128,9.147721007006832e-06
30.19531157357355,7.73166329311495e-06
