temperature,warming_derivatives,cooling_derivatives,heat_capacity
2.6106557467670277,11.081976906053569,-0.7983994796950356,2.046974571884062e-08
2.6306557467670277,10.281069833421498,-1.1284913814778577,2.1179932392691327e-08
2.6506557467670278,9.615219142264323,-1.3839982774006216,2.1833060107272624e-08
2.6706557467670278,9.216517728112194,-1.6867866187392337,2.188886085827903e-08
2.690655746767028,8.555014574928009,-2.014025292586666,2.244332072161317e-08
2.710655746767028,8.03943516018171,-2.098960453761265,2.3255198122928544e-08
2.730655746767028,7.416957170549537,-2.313605410746277,2.408476106744853e-08
2.750655746767028,6.986281165238324,-2.5745927663792827,2.4367053429439506e-08
2.770655746767028,6.5005359794313335,-2.6850521330288757,2.5213877778450996e-08
2.790655746767028,6.156177008442683,-3.040401499990594,2.5037466118692054e-08
2.810655746767028,5.47719636838292,-3.3259368519920827,2.600621410501665e-08
2.830655746767028,5.0725253575838,-3.2224696765952103,2.7442387559361797e-08
2.850655746767028,4.603992709920931,-3.578683964369702,2.7662379047665388e-08
2.870655746767028,4.335591549277524,-3.9392072754308174,2.720187588924596e-08
2.890655746767028,3.9289577376807756,-3.654557228051999,2.9517473911966725e-08
2.910655746767028,3.5543057475406385,-3.9964967024752696,2.948324310139558e-08
2.930655746767028,3.163393039702896,-4.099378885648548,3.048650675408311e-08
2.950655746767028,2.800583457984658,-4.513316877400939,3.011094956834358e-08
2.970655746767028,2.4908000444133904,-4.637169693623946,3.073215247840797e-08
2.990655746767028,2.15633078908553,-4.784902723781215,3.1392897931940435e-08
3.010655746767028,1.8377724687347836,-4.4970947310866904,3.421856172561185e-08
3.030655746767028,1.5522037105624804,-4.24484828767163,3.719976879486844e-08
3.050655746767028,1.272011501405217,-5.455337104755017,3.189156938793347e-08
3.070655746767028,0.9875188638714008,-5.166903808920324,3.468381855439501e-08
3.090655746767028,0.7281247357243217,-4.595757643750403,3.98931725488925e-08
2.6103070717672083,10.964412992589132,-0.8427544701443139,2.059888007047922e-08
2.6303070717672083,10.72706111527441,-1.1251970284251342,2.039107755458167e-08
2.6503070717672084,9.601602560232095,-1.3000651719867165,2.203064367261058e-08
2.6703070717672084,9.055514577137728,-1.7808795894507057,2.2026513686767858e-08
2.6903070717672084,8.52889943687569,-1.898099070493572,2.2751555179844296e-08
2.7103070717672084,8.14485537771725,-2.1127244893359602,2.298740547454319e-08
2.7303070717672084,7.351977562639149,-2.3203569178981525,2.4232260970461455e-08
2.7503070717672085,6.896189067362684,-2.543826130085108,2.4681486446987466e-08
2.7703070717672085,6.3746551123413155,-2.810115205283182,2.52186985512952e-08
2.7903070717672085,5.927921320208043,-2.9233023129104367,2.601701571853481e-08
2.8103070717672085,5.4641137945427545,-2.890190654725302,2.740594427889152e-08
2.8303070717672085,5.025967404417315,-3.3389118138327376,2.7215888884505064e-08
2.8503070717672085,4.751130073260811,-3.5083525848258432,2.740794080190999e-08
2.8703070717672086,4.281599146940152,-3.8199768964896066,2.7786128331346378e-08
2.8903070717672086,3.8887557684622607,-4.15051694734575,2.7846695711461823e-08
2.9103070717672086,3.546208599633701,-3.8164454895704694,3.023950066265011e-08
2.9303070717672086,3.0885103827858984,-4.524986407413962,2.9084792971422907e-08
2.9503070717672086,2.8777076898340965,-4.138829160649038,3.1389970025150184e-08
2.9703070717672087,2.5877615662702738,-4.309235542295937,3.176441141556569e-08
2.9903070717672087,2.120484348575701,-4.795999504040083,3.1508101950012654e-08
3.0103070717672087,1.8796075009706783,-4.624884061129933,3.332912427746532e-08
3.0303070717672087,1.5656305208842696,-4.986904517332732,3.291382826097495e-08
3.0503070717672087,1.2717178099080684,-4.884541370291117,3.4853167432312016e-08
3.0703070717672087,0.9779587811851798,-5.383281438520498,3.355911482287123e-08
3.0903070717672088,0.7230261714464632,-5.293465428065133,3.5303732346349294e-08
2.605041856751874,11.190952274320807,-0.7375478795891013,2.042371973638645e-08
2.625041856751874,10.277846010299982,-1.0116952211155876,2.144294127888204e-08
2.645041856751874,9.561272919345356,-1.3404643257383668,2.2066928143441667e-08
2.665041856751874,9.400904915128649,-1.644328705634507,2.164519904866127e-08
2.685041856751874,8.627557502393756,-1.7944159350386144,2.2799016274599435e-08
2.705041856751874,7.939817911959835,-2.136544965401299,2.343813921162413e-08
2.725041856751874,7.59174795340482,-2.085052411632205,2.425926493704621e-08
2.745041856751874,7.022083598804784,-2.5295459914422054,2.443102852993264e-08
2.765041856751874,6.67451617023562,-2.847491923090274,2.43630497765923e-08
2.785041856751874,6.065720310006782,-3.1305409761080227,2.5079231576689776e-08
2.805041856751874,5.5904059441170375,-3.170293446357846,2.6174358433995517e-08
2.825041856751874,5.2265164648290465,-2.948179775652534,2.7890683269801e-08
2.845041856751874,4.878929535367206,-3.314192746343906,2.767069502987301e-08
2.865041856751874,4.439495500684643,-3.968146906230686,2.6813955805294323e-08
2.885041856751874,3.8197032254756778,-3.86035631601726,2.9191660817684075e-08
2.905041856751874,3.508418234954661,-4.223658281686767,2.883615070629449e-08
2.925041856751874,3.3787551049899776,-4.299333272758304,2.888132300791289e-08
2.945041856751874,2.8979293525384264,-4.360894983126855,3.038505543056429e-08
2.965041856751874,2.516864593925675,-4.4646376394894105,3.1423799442927335e-08
2.985041856751874,2.2473022437627037,-4.2256461662909715,3.3713778036854075e-08
3.005041856751874,1.9606745461883293,-4.6411351464432755,3.288286419868606e-08
3.025041856751874,1.605646341832653,-4.932154486970376,3.303288022967635e-08
3.045041856751874,1.3402083812286492,-4.892682154035356,3.447108787593085e-08
3.0650418567518742,1.0907799649621666,-5.185338517530909,3.4059624752805714e-08
3.0850418567518743,0.7898101970778271,-5.745256058427913,3.2545305350136923e-08
2.613123515603304,10.806511917395255,-0.8910933720336516,2.0773139427074553e-08
2.633123515603304,10.43212519311328,-1.1439746302145295,2.085903973421698e-08
2.653123515603304,9.425750445831,-1.3814405115185764,2.2203902278082187e-08
2.673123515603304,9.308401232807228,-1.6967002692043707,2.16701674318126e-08
