temperature,warming_derivatives,cooling_derivatives,heat_capacity
1.6847361371436962,12.117069753414398,-0.9551930624620582,5.559632265158378e-09
1.6947361371436962,11.557888081093552,-1.2984440202249061,5.61861505189444e-09
1.7047361371436962,11.104565100473337,-1.6277462177249618,5.63898060774126e-09
1.7147361371436962,10.221923874061758,-1.9615735346460497,5.8579258817111556e-09
1.7247361371436962,10.418840569705935,-2.274564488269789,5.589725184311968e-09
1.7347361371436962,9.368648022889829,-2.599100541572625,5.89391715676513e-09
1.7447361371436962,8.832067495273805,-2.8395575562649356,6.008406384575988e-09
1.7547361371436963,8.021539059354836,-2.906883937343082,6.380139429130887e-09
1.7647361371436963,8.023377628946037,-3.4388646607512783,6.048639670551584e-09
1.7747361371436963,7.023457762476028,-3.644933375157052,6.4622555299577775e-09
1.7847361371436963,6.841523874448285,-3.9482553380948957,6.3539577870220134e-09
1.7947361371436963,6.190381090058509,-4.0839259044000755,6.63601453337131e-09
1.8047361371436963,5.600093248322082,-4.501470897459512,6.712510957705426e-09
1.8147361371436963,5.641360392513889,-4.796653055364004,6.460923596602155e-09
1.8247361371436963,5.026942949194563,-4.404566977624199,7.112013197481628e-09
1.8347361371436963,4.430425823658879,-5.130842153543199,6.978213402271551e-09
1.8447361371436963,3.935997028807833,-5.455682282194175,7.066762442627665e-09
1.8547361371436963,3.782752631514086,-5.625227918639212,7.017521274706964e-09
1.8647361371436963,3.336692524011596,-5.9111105472366035,7.102003132234194e-09
1.8747361371436964,2.8665749163615146,-5.665319637904759,7.658363338191145e-09
1.8847361371436964,2.4957543215805345,-6.620198811622686,7.131206079269138e-09
1.8947361371436964,2.1745191817108207,-6.392506524261989,7.549662562482305e-09
1.9047361371436964,1.858189974635934,-6.1451942560161115,8.040863864100085e-09
1.9147361371436964,1.4209450500875391,-7.026233247182972,7.580407267273082e-09
1.7133649859027646,10.551137887499067,-1.8722355965592286,5.7496289786338075e-09
1.7333649859027647,9.386700035498052,-2.4990994816115517,5.939197286482988e-09
1.7533649859027647,8.411046732409659,-3.022210520307226,6.103347721406093e-09
1.7733649859027647,7.330654633725544,-3.6225131022033565,6.299048056078818e-09
1.7933649859027647,6.341431721224012,-4.049532810232449,6.566425355902676e-09
1.8133649859027647,5.355589972100461,-4.604160313706416,6.776256754052819e-09
1.8333649859027648,4.448552062080125,-5.147525209978085,6.957919648897726e-09
1.8533649859027648,3.766727705037738,-5.382704154677867,7.221053199241232e-09
1.8733649859027648,2.980427788060382,-5.644709165871973,7.580934476889342e-09
1.8933649859027648,2.2000265936021606,-6.439702998419762,7.491334330921179e-09
1.7123217126191872,10.565085251384232,-1.8663107358551088,5.749429773473863e-09
1.7323217126191872,9.44772394640404,-2.4538552555105753,5.934945584021814e-09
1.7523217126191872,8.497873728923423,-3.125638077594431,6.007009585629583e-09
1.7723217126191873,7.364684040405166,-3.359940085636481,6.437083932031448e-09
1.7923217126191873,6.370542737879873,-4.105015657185845,6.5171559354179215e-09
1.8123217126191873,5.463103581133851,-4.53448339676288,6.754417893295627e-09
1.8323217126191873,4.513886670003103,-5.076496969420987,6.965894167811052e-09
1.8523217126191873,3.7887477006735253,-5.482258679547954,7.130205950182364e-09
1.8723217126191873,3.029472436629135,-5.899521310110458,7.326884028348033e-09
1.8923217126191874,2.228491467516392,-6.0716097056356375,7.802062319483759e-09
1.7112768610562061,10.499678213325751,-1.832860957312164,5.799135649326018e-09
1.7312768610562062,9.449555796634286,-2.327884931692097,6.001130459369926e-09
1.7512768610562062,8.591977309471076,-3.018557035681738,6.0174112104041435e-09
1.7712768610562062,7.442323088734611,-3.464913741924647,6.333047229129541e-09
1.7912768610562062,6.380232370405906,-4.03942079233218,6.55586272341165e-09
1.8112768610562062,5.4840353285358105,-4.577323241584509,6.715404005308535e-09
1.8312768610562062,4.571336990496093,-5.065880472218936,6.935907544820166e-09
1.8512768610562063,3.870857762734886,-5.559048718778371,7.013922397197576e-09
1.8712768610562063,3.074642055234449,-5.668503096353106,7.48670068639209e-09
1.8912768610562063,2.2561707340651083,-6.394139488783367,7.490056062799192e-09
1.7105261140671637,10.7427590847376,-1.771520547179506,5.7174861259396506e-09
1.7305261140671637,9.601539028170464,-2.4147511929938332,5.884471406885253e-09
1.7505261140671637,8.590603629883844,-2.992230246033728,6.03438491476935e-09
1.7705261140671638,7.413506581640377,-3.573239967187476,6.289865492269368e-09
1.7905261140671638,6.449065505003773,-3.8371762355191095,6.643636893164577e-09
1.8105261140671638,5.511539159286713,-4.709203028475713,6.613336207627694e-09
1.8305261140671638,4.656750996118149,-5.0490984240755665,6.889681391843649e-09
1.8505261140671638,3.8966216535873173,-5.4811057296917625,7.055731293257322e-09
1.8705261140671638,3.073836235203771,-5.9172441890800656,7.282999865831942e-09
1.8905261140671639,2.2747941181985425,-6.474315575540459,7.408321649769803e-09
1.7093870404163998,10.918812668389364,-1.7556022438117225,5.649133176066707e-09
1.7293870404163998,9.616355262179127,-2.400230975971681,5.888251388925031e-09
1.7493870404163998,8.425629078251404,-3.0097122112915713,6.116112220683992e-09
1.7693870404163998,7.46454196812374,-3.345834804417791,6.396565440663782e-09
1.7893870404163998,6.733736796333687,-4.101236937239264,6.311234337750438e-09
1.8093870404163999,5.6377773246447305,-4.543567277145939,6.6430724178043855e-09
1.8293870404163999,4.65344594659291,-4.776189772417638,7.095706616723983e-09
1.8493870404164,3.905439730001831,-5.464433309090282,7.065878850139719e-09
1.8693870404164,3.169395563395028,-5.982863804374574,7.159014053756311e-09
1.8893870404164,2.342600276711835,-6.296776994201991,7.506740434480086e-09
1.713900585950994,10.37231252211086,-1.8868375951067549,5.824731503269414e-09
1.733900585950994,9.396531512195907,-2.50611821998163,5.928907516701342e-09
1.753900585950994,8.328747746293402,-3.099962420469751,6.1039180215233495e-09
1.773900585950994,7.237801103570973,-3.641671960519261,6.339808566301291e-09
1.793900585950994,6.186734198208796,-4.144866334293738,6.602219038619143e-09
1.813900585950994,5.433332927125548,-4.604101019545851,6.721893132504286e-09
1.833900585950994,4.529610550921888,-5.151721773232794,6.894766009873625e-09
1.853900585950994,3.7707325740243505,-5.478389744337846,7.1412185465507894e-09
1.873900585950994,2.8771464163230576,-6.030947265098575,7.3380944387965595e-09
1.893900585950994,2.1775331413873573,-6.142873916993722,7.776679195136798e-09
1.7072868206742715,10.86684257907541,-1.703357592378211,5.703122553150663e-09
1.7272868206742715,9.773209865190609,-2.271030066836147,5.882017504202688e-09
1.7472868206742715,8.773718137638298,-2.906215345280586,5.99541025320682e-09
1.7672868206742716,7.534219923306864,-3.3533082778769767,6.358660436110673e-09
1.7872868206742716,6.699191169881942,-3.9876419993404397,6.4060595205787e-09
1.8072868206742716,5.701647144993672,-4.423160921175395,6.687838509091564e-09
1.8272868206742716,4.877217352606522,-4.984297517996083,6.7926569677541884e-09
1.8472868206742716,3.9165538776901485,-5.425497276505212,7.094737470389233e-09
1.8672868206742717,3.206983095380366,-5.889789929140079,7.210454390166869e-09
1.8872868206742717,2.4416383353115805,-6.154009806198701,7.552991639415244e-09
1.709323754278695,10.80440653071446,-1.810669230737176,5.675884046320116e-09
1.729323754278695,9.532677631435945,-2.4097081442782837,5.925099882394092e-09
1.749323754278695,8.405380054564375,-2.9406509807283143,6.164539831153442e-09
1.769323754278695,7.558445845236292,-3.4883077434884626,6.2598931519208715e-09
1.789323754278695,6.497029291785111,-3.9435727351064997,6.5498508743359e-09
1.809323754278695,5.66846744958093,-4.585937735252173,6.595980640796768e-09
1.829323754278695,4.685532996645179,-4.982919606477253,6.92069952953322e-09
1.849323754278695,3.9237698511476538,-5.511138041735194,7.0174137528718954e-09
1.8693237542786951,3.089596738687078,-5.906722268601698,7.28328250211853e-09
1.8893237542786951,2.3363607199722765,-6.172069533001832,7.622532375319236e-09
1.71367134491119,10.60478681900554,-1.8990502947769414,5.71166897528165e-09
1.73367134491119,9.267210938019616,-2.4467487004294526,6.0253025204615845e-09
1.75367134491119,8.45755264503623,-3.137527095303767,6.017110927044299e-09
1.77367134491119,7.186188734634015,-3.504563579028172,6.4525459016937085e-09
1.79367134491119,6.274338332751995,-4.104292570501002,6.5730822488358724e-09
1.81367134491119,5.408054038615859,-4.521976926847628,6.7953676987896e-09
1.83367134491119,4.596763512247435,-5.119860274331131,6.870514772044045e-09
1.8536713449111901,3.659841296116383,-5.629328152016569,7.1112311888763895e-09
1.8736713449111901,2.957327683591359,-5.859668936620778,7.4147927349405655e-09
1.8936713449111902,2.2249655907438637,-6.293606825127881,7.5967312815294e-09
