temperature,heat_capacity
1.810094827454363,1.0599997884966055e-07
1.9100948274543628,1.162818692496432e-07
2.0123569454650574,1.2749449299923495e-07
2.114094827454363,1.4104660523279422e-07
2.214094827454363,1.5455232344811045e-07
2.314094827454363,1.7085654362837313e-07
2.4215687822765095,1.8810792885290816e-07
2.512189764801486,2.038880020333902e-07
2.6140223126230833,2.224671052491513e-07
2.714022312623083,2.4330264353493357e-07
2.8140223126230834,2.658364802322509e-07
2.9219036881894644,2.896611679822851e-07
3.0179890683272874,3.1857016101889135e-07
3.117989068327288,3.435762178929098e-07
3.217989068327288,3.728574775446618e-07
3.3219697573112006,4.049859710420799e-07
3.422964929557179,4.360821653527791e-07
3.5229649295571788,4.673028177600019e-07
3.622964929557179,5.039181065919771e-07
3.7229649295571794,5.425760202263521e-07
3.8229649295571795,5.770603293441988e-07
3.9229649295571796,6.303652559332365e-07
4.015605563595362,6.605167532275417e-07
4.122228687071669,7.064038715227638e-07
4.222228687071668,7.485540407215956e-07
4.322228687071669,7.965612911305591e-07
4.4222286870716685,8.492258327814396e-07
4.522228687071669,9.002614207743503e-07
4.628025933146721,9.585916319918485e-07
4.719620425296825,9.966005160808898e-07
4.819620425296824,1.062706916030546e-06
4.910779720935923,1.113233415929075e-06
5.017012163521974,1.1741402845298199e-06
5.117012163521972,1.2328929380368534e-06
5.21701216352197,1.2948627486082697e-06
5.317012163521968,1.3826906749094571e-06
5.4170121635219655,1.436438587533974e-06
5.517012163521963,1.5175908353784844e-06
5.617012163521962,1.613698479665697e-06
5.71701216352196,1.6825409825179069e-06
5.817012163521957,1.7321567045171553e-06
5.917012163521955,1.857321286595225e-06
6.017012163521953,1.9197425188452774e-06
6.1170121635219505,2.0692264413633315e-06
6.197012163521949,2.0489451344551117e-06
