temperature,warming_derivatives,cooling_derivatives,heat_capacity
3.3035206480697137,1.1232576945953952,-0.07487167058476984,3.9310233117416043e-07
3.3235206480697137,1.057885549671937,-0.09018611627573137,4.083836359680507e-07
3.3435206480697137,1.0128190620830537,-0.1166339872587514,4.132509390952041e-07
3.3635206480697137,1.0114416952651482,-0.1318145654050369,4.064439340390707e-07
3.3835206480697138,0.9444706164397871,-0.15684666298818684,4.200578375678774e-07
3.4035206480697138,0.8956929194685017,-0.16754276407914404,4.331978406609887e-07
3.423520648069714,0.8718432196573644,-0.17580841644803513,4.377321077646041e-07
3.443520648069714,0.8145328319556029,-0.2072587619885553,4.468769721675564e-07
3.463520648069714,0.7899566546382175,-0.22358164584096585,4.4859188682580295e-07
3.483520648069714,0.7708940013872052,-0.23040939906178437,4.521500372856112e-07
3.503520648069714,0.7296875530047373,-0.2511944396239869,4.596235237199606e-07
3.523520648069714,0.6693148955446304,-0.25691847525968114,4.847122574544029e-07
3.543520648069714,0.6698662174535457,-0.2910559983040457,4.6528299268934267e-07
3.563520648069714,0.6320506904936565,-0.3053248530502515,4.7501465841135025e-07
3.583520648069714,0.5965739124600304,-0.31678626898349194,4.855207327189814e-07
3.603520648069714,0.5682080404026806,-0.32089520206977795,4.967538231196817e-07
3.623520648069714,0.5293291889881857,-0.3466453658413684,5.021797557741364e-07
3.643520648069714,0.5126963576204275,-0.3491761697611224,5.083681666909418e-07
3.663520648069714,0.4811303474180022,-0.3780857696676776,5.079288167659842e-07
3.683520648069714,0.4492871034726704,-0.38055113485188485,5.238532388628745e-07
3.703520648069714,0.4309105084770408,-0.36124882790500124,5.46639318912376e-07
3.723520648069714,0.41088558037563416,-0.4153299516506195,5.220880130811894e-07
3.743520648069714,0.37674113450196955,-0.3831143634106411,5.655134921849143e-07
3.763520648069714,0.3501043866875193,-0.3984713250056302,5.718572410746732e-07
3.783520648069714,0.3251491552312018,-0.4538582084924201,5.474477482923411e-07
3.803520648069714,0.3101108461470403,-0.4445117678110364,5.630266191668442e-07
3.823520648069714,0.2833233646047688,-0.44888478981607705,5.781096287028889e-07
3.843520648069714,0.255223215618571,-0.43030654533504276,6.151995223187052e-07
