setpoint,temperature,resistance,current
4.5,4.5022,453.3424927107991,1e-06
4.5,4.50243,450.54947483326157,1e-06
4.5,4.50218,452.65637152682757,1e-06
4.5,4.50232,452.8760162050642,1e-06
4.5,4.50209,452.8140355177034,1e-06
4.5,4.50246,452.875043394747,1e-06
4.5,4.50219,452.8716224525058,1e-06
4.5,4.5029,452.79746553004924,1e-06
4.5,4.50254,452.81595751601213,1e-06
4.5,4.50226,452.9048139674337,1e-06
4.5,4.50283,452.97565036489027,1.3949507939624201e-06
4.5,4.50266,452.9557080775205,1.3949507939624201e-06
4.5,4.50228,452.9370958917632,1.3949507939624201e-06
4.5,4.50285,452.8920741074395,1.3949507939624201e-06
4.5,4.50407,452.92358550779244,1.3949507939624201e-06
4.5,4.50351,452.93165232775664,1.3949507939624201e-06
4.5,4.50273,452.9069669349843,1.3949507939624201e-06
4.5,4.50302,452.9425456136475,1.3949507939624201e-06
4.5,4.50266,452.9517547199502,1.3949507939624201e-06
4.5,4.50253,452.94112314386746,1.3949507939624201e-06
4.5,4.50296,452.3489207898026,1.94588771757639e-06
4.5,4.50288,452.3236692892908,1.94588771757639e-06
4.5,4.50282,452.33929849038554,1.94588771757639e-06
4.5,4.50378,452.3289334673181,1.94588771757639e-06
4.5,4.50268,452.3350904587675,1.94588771757639e-06
4.5,4.50278,452.3559430046427,1.94588771757639e-06
4.5,4.50213,452.36442859475835,1.94588771757639e-06
4.5,4.50236,452.36131423199254,1.94588771757639e-06
4.5,4.5019,452.38595433740426,1.94588771757639e-06
4.5,4.50268,452.3831467757898,1.94588771757639e-06
4.5,4.50226,452.5929093635854,2.7144176165949066e-06
4.5,4.50253,452.6112899174139,2.7144176165949066e-06
4.5,4.50105,452.61767916343115,2.7144176165949066e-06
4.5,4.50137,452.6234663519671,2.7144176165949066e-06
4.5,4.50251,452.5797938459437,2.7144176165949066e-06
4.5,4.50224,452.569581811819,2.7144176165949066e-06
4.5,4.50297,452.5459876458986,2.7144176165949066e-06
4.5,4.5023,452.6159402378806,2.7144176165949066e-06
4.5,4.50199,452.60865146577095,2.7144176165949066e-06
4.5,4.50232,452.58440777397396,2.7144176165949066e-06
4.5,4.50236,452.33886155063067,3.786479009414645e-06
4.5,4.50241,452.31140150476216,3.786479009414645e-06
4.5,4.5022,452.34119875681483,3.786479009414645e-06
4.5,4.50191,452.3352976089512,3.786479009414645e-06
4.5,4.50233,452.34599964260684,3.786479009414645e-06
4.5,4.50214,452.3701305449905,3.786479009414645e-06
4.5,4.50144,452.4030210080425,3.786479009414645e-06
4.5,4.50172,452.36321987831883,3.786479009414645e-06
4.5,4.50189,452.35723592722707,3.786479009414645e-06
4.5,4.50176,452.35652756262533,3.786479009414645e-06
4.5,4.50223,452.0591031092989,5.281951900505008e-06
4.5,4.5028,452.0351260394037,5.281951900505008e-06
4.5,4.50234,452.03217515302504,5.281951900505008e-06
4.5,4.50279,452.00505895475686,5.281951900505008e-06
4.5,4.50268,451.98695560427666,5.281951900505008e-06
4.5,4.5038,451.9802394714452,5.281951900505008e-06
4.5,4.50255,452.0159692655826,5.281951900505008e-06
4.5,4.50222,452.0441169324017,5.281951900505008e-06
4.5,4.5019,452.0633895787245,5.281951900505008e-06
4.5,4.5015,452.06966173691757,5.281951900505008e-06
4.5,4.50158,451.6582875914195,7.368062997280774e-06
4.5,4.50179,451.64020871587104,7.368062997280774e-06
4.5,4.5018,451.6455907874162,7.368062997280774e-06
4.5,4.50201,451.64239960896134,7.368062997280774e-06
4.5,4.50231,451.62289521018494,7.368062997280774e-06
4.5,4.50208,451.6281481656414,7.368062997280774e-06
4.5,4.50168,451.6544012845862,7.368062997280774e-06
4.5,4.50181,451.6398041715569,7.368062997280774e-06
4.5,4.50228,451.6294466129897,7.368062997280774e-06
4.5,4.5022,451.6361073127093,7.368062997280774e-06
4.5,4.50197,450.64325540410505,1.0278085328021965e-05
4.5,4.50224,450.6300016214368,1.0278085328021965e-05
4.5,4.50159,450.666303580476,1.0278085328021965e-05
4.5,4.50178,450.6862678297387,1.0278085328021965e-05
4.5,4.50178,450.6940027200875,1.0278085328021965e-05
4.5,4.50164,450.69274553923304,1.0278085328021965e-05
4.5,4.50065,450.73431629162513,1.0278085328021965e-05
4.5,4.50132,450.71761064176485,1.0278085328021965e-05
4.5,4.5011,450.69988641841854,1.0278085328021965e-05
4.5,4.50153,450.7073492712947,1.0278085328021965e-05
4.5,4.50158,448.7153406814399,1.433742328873774e-05
4.5,4.5013,448.2963716600299,1.433742328873774e-05
4.5,4.50183,447.97251568831007,1.433742328873774e-05
4.5,4.5019,447.7328731493828,1.433742328873774e-05
4.5,4.50071,447.58112732590746,1.433742328873774e-05
4.5,4.5017,447.48922949095305,1.433742328873774e-05
4.5,4.5022,447.42081218977626,1.433742328873774e-05
4.5,4.50146,447.40545731515357,1.433742328873774e-05
4.5,4.5015,447.4078900701028,1.433742328873774e-05
4.5,4.50081,447.4057805441389,1.433742328873774e-05
4.5,4.5018,446.6468981768617,1.9999999999999998e-05
4.5,4.50157,445.98212824661675,1.9999999999999998e-05
4.5,4.50091,445.90534172982586,1.9999999999999998e-05
4.5,4.50182,445.88912822453955,1.9999999999999998e-05
4.5,4.50147,445.9370117522379,1.9999999999999998e-05
4.5,4.50178,445.853941696842,1.9999999999999998e-05
4.5,4.50149,445.89379363384217,1.9999999999999998e-05
4.5,4.50122,445.9072315158726,1.9999999999999998e-05
4.5,4.50107,445.86949162952783,1.9999999999999998e-05
4.5,4.50139,445.8709787622976,1.9999999999999998e-05
5.018135372133243,5.01813,421.5306719208272,1e-06
5.018135372133243,5.01854,421.5408681755424,1e-06
5.018135372133243,5.01843,421.54388753824867,1e-06
5.018135372133243,5.01896,421.55460992657913,1e-06
5.018135372133243,5.01875,421.52736479524566,1e-06
5.018135372133243,5.01796,421.5802401498364,1e-06
5.018135372133243,5.01837,421.57004174763705,1e-06
5.018135372133243,5.01702,421.5262846107213,1e-06
5.018135372133243,5.01668,421.61862857639244,1e-06
5.018135372133243,5.01761,421.5759945736839,1e-06
5.018135372133243,5.01727,421.6563034453554,1.3949507939624201e-06
5.018135372133243,5.01828,421.7054032842756,1.3949507939624201e-06
5.018135372133243,5.01747,421.685525654623,1.3949507939624201e-06
5.018135372133243,5.0179,421.6769892964738,1.3949507939624201e-06
5.018135372133243,5.01844,421.6118143174645,1.3949507939624201e-06
5.018135372133243,5.01875,421.65136482733146,1.3949507939624201e-06
5.018135372133243,5.01804,421.5710460872556,1.3949507939624201e-06
5.018135372133243,5.01837,421.6326494971204,1.3949507939624201e-06
5.018135372133243,5.01904,421.63829165268703,1.3949507939624201e-06
5.018135372133243,5.01834,421.649437411569,1.3949507939624201e-06
5.018135372133243,5.01964,421.10536534820363,1.94588771757639e-06
5.018135372133243,5.01926,421.0880972992326,1.94588771757639e-06
5.018135372133243,5.01834,421.1320658771745,1.94588771757639e-06
5.018135372133243,5.01874,421.0940258452204,1.94588771757639e-06
5.018135372133243,5.01888,421.0800520460211,1.94588771757639e-06
5.018135372133243,5.01871,421.0442589462397,1.94588771757639e-06
5.018135372133243,5.01991,421.0416533436563,1.94588771757639e-06
5.018135372133243,5.01743,421.10732534404775,1.94588771757639e-06
5.018135372133243,5.01839,421.0970243298536,1.94588771757639e-06
5.018135372133243,5.0184,421.1229898603828,1.94588771757639e-06
5.018135372133243,5.01926,421.30662446674506,2.7144176165949066e-06
5.018135372133243,5.01831,421.3063594348709,2.7144176165949066e-06
5.018135372133243,5.02017,421.2818657428582,2.7144176165949066e-06
5.018135372133243,5.0194,421.27033250506236,2.7144176165949066e-06
5.018135372133243,5.01932,421.3050113324423,2.7144176165949066e-06
5.018135372133243,5.01798,421.3346877820899,2.7144176165949066e-06
5.018135372133243,5.01861,421.3401846222741,2.7144176165949066e-06
5.018135372133243,5.0184,421.32444489350814,2.7144176165949066e-06
5.018135372133243,5.01817,421.32535074871987,2.7144176165949066e-06
5.018135372133243,5.01843,421.3117502623055,2.7144176165949066e-06
5.018135372133243,5.02006,421.0654905297713,3.786479009414645e-06
5.018135372133243,5.01911,421.04608054567854,3.786479009414645e-06
5.018135372133243,5.01992,421.0303598423982,3.786479009414645e-06
5.018135372133243,5.01879,421.071222101161,3.786479009414645e-06
5.018135372133243,5.01921,421.0545304449597,3.786479009414645e-06
5.018135372133243,5.0191,421.0681266215802,3.786479009414645e-06
5.018135372133243,5.01855,421.0656079288687,3.786479009414645e-06
5.018135372133243,5.0192,421.0720966393644,3.786479009414645e-06
5.018135372133243,5.01978,421.05406028142494,3.786479009414645e-06
5.018135372133243,5.01896,421.0398476177573,3.786479009414645e-06
5.018135372133243,5.01935,420.832360366114,5.281951900505008e-06
5.018135372133243,5.01859,420.8470399890943,5.281951900505008e-06
5.018135372133243,5.02055,420.84547794645624,5.281951900505008e-06
5.018135372133243,5.01963,420.83508682575246,5.281951900505008e-06
5.018135372133243,5.01946,420.833790273443,5.281951900505008e-06
5.018135372133243,5.01926,420.86489167263215,5.281951900505008e-06
5.018135372133243,5.01936,420.8563219863424,5.281951900505008e-06
5.018135372133243,5.01867,420.8621778166692,5.281951900505008e-06
5.018135372133243,5.01926,420.85359105443194,5.281951900505008e-06
5.018135372133243,5.01877,420.87645778116087,5.281951900505008e-06
5.018135372133243,5.01746,420.65106471155303,7.368062997280774e-06
5.018135372133243,5.01811,420.6535225805739,7.368062997280774e-06
5.018135372133243,5.01875,420.6404092824605,7.368062997280774e-06
5.018135372133243,5.01815,420.6277165588755,7.368062997280774e-06
5.018135372133243,5.01821,420.66664957723407,7.368062997280774e-06
5.018135372133243,5.01725,420.70691222899393,7.368062997280774e-06
5.018135372133243,5.0178,420.6714262896003,7.368062997280774e-06
5.018135372133243,5.01879,420.62010191568305,7.368062997280774e-06
5.018135372133243,5.01897,420.62701589278674,7.368062997280774e-06
5.018135372133243,5.01891,420.606550555535,7.368062997280774e-06
5.018135372133243,5.0193,419.91466680005755,1.0278085328021965e-05
5.018135372133243,5.01935,419.906226116635,1.0278085328021965e-05
5.018135372133243,5.02004,419.88784415598957,1.0278085328021965e-05
5.018135372133243,5.02003,419.8725716129066,1.0278085328021965e-05
5.018135372133243,5.01919,419.9058656983246,1.0278085328021965e-05
5.018135372133243,5.01888,419.92606333150195,1.0278085328021965e-05
5.018135372133243,5.01884,419.92574887958483,1.0278085328021965e-05
5.018135372133243,5.01994,419.8916719029152,1.0278085328021965e-05
5.018135372133243,5.02004,419.8599126771542,1.0278085328021965e-05
5.018135372133243,5.01986,419.8750264272424,1.0278085328021965e-05
